notif_no,product,holder,manufacturer,substance_detected,Description,status
NOT190708278K,Fs Turmeric Cream,Fs Beauty & Spa,"Ireal Plus (Thailand) Co.,Ltd","Steroid,Mercury","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products.",False
NOT170900717K,Fulenze - Whitening Freckle Day Cream,Ys Medicals Sdn. Bhd.,"Beauty Cosmetic Co., Ltd",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT240201187K,Gb Herbal Cream Treatment,Glowing Beauty Care,Sb Interlab Co. Ltd.,"Steroid,Mercury","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products.",False
NOT240201186K,Gb Night Cream Treatment,Glowing Beauty Care,Sb Interlab Co. Ltd.,"Hydroquinone,Tretinoin","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT210305182K,Gerbera Beauty - Treatment & Repairing Night Cream,Gerbera Beauty,Guangzhou Meisheng Cosmetics Co. Ltd,Steroid,"【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products.",False
NOT210305183K,Gerbera Beauty - Whitening Night Cream,Gerbera Beauty,Guangzhou Meisheng Cosmetics Co. Ltd,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT170201663K,Gg Pinky Day Cream For Skin,One World Cosmetics,Pan Rajdhevee Group Public Company Limited,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT170806887K,Glow Glowing N Glowing,Qalbu Ocean Enterprise,Top On Cosmetics Industries,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT181006812K,Glow Skin White - Brightening Cream,Figure Fit (M) Sdn Bhd,Oracle Cos International,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT210604359K,Haemun Cream,Axeltrade Resources Plt,"Hanbit Korea Co., Ltd",Miconazole,"【MICONAZOLE】Ingredient's risk: May cause antifungal resistance, skin irritation, allergic reactions in sensitive individuals. Common uses: Antifungal creams for athlete's foot, jock itch, and yeast infections. Banned / monitored: Generally approved but with concentration limits and specific usage guidelines.",False
NOT230903286K,Kak Ell Krim Rawatan,Armila Berhad,Fabullite Sdn Bhd,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT210701629K,Karisma Birds Nest Gel,Karisma Empayar Sdn. Bhd.,"Ireal Plus (Thailand) Co., Ltd.","Hydroquinone,Tretinoin","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT160300509K,Karisma Daycream,Karisma Cosmetic,"Merry Cosmetic Laboratories Co., Ltd",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT220903606K,Karisma Golden Turmeric Cream,Karisma Empayar Sdn. Bhd.,"Ireal Plus (Thailand) Co., Ltd.","Mercury,Steroid","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products.",False
NOT160300410K,Karisma Nightcream Kunyit,Karisma Cosmetic,"Merry Cosmetic Laboratories Co., Ltd",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT160300556K,Karisma Treatment Sarang Burung,Karisma Cosmetic,"Merry Cosmetic Laboratories Co., Ltd",Hydroquinone And Tretinoin,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT171003557K,Labeauty Booster Night Cream,Labeauty Resources,Guangzhou Shang Zhuang Cosmetics Co. Ltd,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT190107639K,Lana Radiance Night Cream,Qalbu Ocean Enterprise,Top On Cosmetics Industries,Hydroquinone,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions.",False
NOT200306590K,Ls Repairing Cream,Aa Mega Legacy,"Ireal Plus (Thailand) Co., Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT170200716K,Luffiya Night Cream 1 & 2,Arriana Rose Beauty Resources,Lolla Industries (M) Sdn. Bhd.,"Tretnon,Hydroquinone,Mercury","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT201004624K,Luxe Lily Beauty Peeling Oil,Ay & Nr Enterprise,"Advance Cosmetic Co., Ltd.","Hydroquinone,Hydroquinone","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions.",False
NOT160506024K,Magic Cream,Malia Mellia,Nund Skintech,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT170204393K,Moleek Skincare Anti Pigmentation Cream Plus,Sejagat Global Resources,Dby Smart Trading,"Tretnon,Hydroquinone","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT200901749K,Momila Beauty Whitening Cream,Bysheilanan Enterprise,Guangzhou Baiyunqu Yanmei Cosmetics Factory,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT190605136K,Ms Skinz Night Cream,Redsky Capital,Fabullite Sdn Bhd,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT150903694K,Night Cream Dollys Pinky,Legacy Jaya Enterprise,Benny Cosmetic Co Ltd,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT200405779K,Night Cream Foru By D Ains Beauty Empire,D Ains Beauty Empire Sdn. Bhd,Guangzhou Baiyunqu Yanmei Cosmetics Factory,"Tretinoin,Hydroquinone,Steroid","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products.",False
NOT220102940K,Ninaskincare Skin Puteh Moisturizer,Nina Beauty Legacy,"Guangzhou Boxuanya Cosmetics Co.,Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT200704119K,Np Beauty Fm Cream,Np Beauty Resources,Guangzhou Baiyunqu Yanmei Cosmetics Factory,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT150900193K,Nuriz  Shoppe -Uv Pearl Cream,Progressive  Mix Industries,Progressive Mix Industries,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT140304146K,Nv Anti Blemish Toner 1,Nouvelle Beauty Centre Sdn. Bhd.,Qemrich Sdn. Bhd.,Hydroquinone And Tretinoin,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT190702019K,Qeziger Age-Locking Recharging Spot A.M Cream,Elemensive Manufacture Enterprise,"Mell Biotech Co.,Ltd",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT220106011K,Rissa Skin Moisturiser,Twin Rich Solution,"Ireal Plus (Thailand) Co., Ltd.","Tretinoin,Steroid,Hydroquinone","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products.",False
NOT170402517K,Robisis - Anti-Acne Whitening Day & Night Cream,Ys Medicals Sdn. Bhd.,Cosmaprof Co. Ltd.,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT150501310K,Royal Expert Whitening Cream,Ortus Expert Cosmetics Sdn. Bhd.,Qcm Cosmetics International,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT180705530K,Rzac Beauty Creme 2,R-Zac Sdn. Bhd.,Siam Yoko Co. Ltd,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT210605524K,Serene Treatment Cream,Richgolds Enterprise,"Ireal Plus (Thailand) Co., Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT210302928K,Skin Dessert Cream,Ailezee Empire,"Guangzhou Meisheng Cosmetic Co., Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT191103319K,Skin Revolution - Acne Clearing Solution,Sansbeau Cosmetics Sdn.Bhd.,Guangzhou Bailichem Cosmetics Co.Ltd,Metronidazole,"【METRONIDAZOLE】Ingredient's risk: Potential carcinogen, can cause nausea, metallic taste, nerve damage with prolonged use. Common uses: Treatment of rosacea, bacterial and parasitic skin infections. Banned / monitored: Prescription-only antibiotic, banned in food and cosmetic products in many countries.",False
NOT230202916K,Skinmade Az & Salicylic Acid + Licorice Root Serum,Beauty Effect Store Sdn. Bhd.,Vni Scientific Sdn Bhd,Azelaic Acid,"【AZELAIC ACID】Ingredient's risk: Mild skin irritation, burning sensation, may cause hypopigmentation in some individuals. Common uses: Acne treatment, rosacea therapy, skin brightening products. Banned / monitored: Prescription-only in concentrations above 10% in some regions.",False
NOT210700039K,Skinsister Babyskin Treatment Cream,Magnivque Empire Resources,"Ireal Plus (Thailand) Co., Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT200706569K,Sl Two Intensive,D Aman Kosmetik & Enterprise,Guangzhou Shang Zhuang Cosmetics Co. Ltd,"Hydroquinone,Steroid","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products.",False
NOT221003358K,Snow White Treatment Cream,Bellanasz  Beauty,"Zhejiang L&J Cosmetics Co.,Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT180901024K,Sparkle Moon Night Cream,Karisma Empayar Sdn. Bhd.,"Merry Cosmetic Laboratories Co., Ltd","Mercury,Steroid","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products.",False
NOT180901005K,Sparkle Sun Day Cream,Karisma Empayar Sdn. Bhd.,"Merry Cosmetic Laboratories Co., Ltd",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT201003378K,Sweet 13 Skincare Treatment Cream,Jane Beauty And Boutique,"Guangzhou Meisheng Cosmetic Co., Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT170303016K,Syma Magical Serum,Syima Global Enterprise,Seri Wv Sdn. Bhd.,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT170505954K,Tati Therapy Cream 2,Hdy Aylia Resources,Nund Skintech,Hydroquinone And Tretinoin,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT171202673K,Tati Ultra Night Cream,Nh Biz Resources,Nund Skintech,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT211004813K,Tempias Hawa Master Recovery Skin Rskin,Tempias Hawa Sdn Bhd,"Ireal Plus (Thailand) Co., Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT200800620K,Toner Treatment Ewsb,Eniq World Sdn. Bhd.,Guangzhou Boya Cosmetics Co Ltd,"Hydroquinone,Tretinoin","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT190107782K,Tresors Natural Herbal Cream,Jois Trading-In,"Taiwan Funung Cosmetic Works Co., Ltd.","Sulfamethoxazole,Ketoconazole,Chloramphenicol,Trimethoprim","【TRIMETHOPRIM】Ingredient's risk: Severe allergic reactions, antibiotic resistance, kidney damage, blood disorders. Common uses: Antibiotic for treating bacterial infections. Banned / monitored: Prescription-only drug, completely banned in cosmetic and food products. || 【SULFAMETHOXAZOLE】Ingredient's risk: Severe allergic reactions including Stevens-Johnson syndrome, antibiotic resistance, kidney and liver damage. Common uses: Antibiotic combination for treating bacterial infections. Banned / monitored: Prescription-only drug, completely banned in cosmetic and food products. || 【KETOCONAZOLE】Ingredient's risk: Liver toxicity, hormonal disruption, can cause hepatitis and adrenal insufficiency if absorbed systemically. Common uses: Anti-dandruff shampoos, antifungal creams for skin conditions. Banned / monitored: Oral form banned in many countries, topical use restricted with warnings. || 【CHLORAMPHENICOL】Ingredient's risk: Bone marrow suppression, potentially fatal aplastic anemia, gray baby syndrome in infants. Common uses: Eye ointments and drops for bacterial infections. Banned / monitored: Heavily restricted, banned in food products, prescription-only with severe warnings.",False
NOT180706781K,V3 Premier Beauty Facial Night Cream,Bright Beauty And Cosmetics,Pt. Adev Natural Indonesia,Hydroquinone,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions.",False
NOT170203545K,Vsl Beauty Care Toner A,Qemrich Sdn. Bhd.,Qemrich Sdn. Bhd.,Hydroquinone,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions.",False
NOT220503570K,Zen Garden Hand Sanitizer,Loving Hands Marketing,Loving Hands Marketing,Isopropyl Alcohol,"【ISOPROPYL ALCOHOL】Ingredient's risk: Severe skin dryness, irritation, disrupts skin barrier, can cause contact dermatitis. Common uses: Hand sanitizers, disinfectant products, astringents. Banned / monitored: Limited to specific concentrations in cosmetics, restricted in leave-on products.",False
