notif_no,product,holder,manufacturer,substance_detected,Description
NOT211002945K,FOR U NIGHT CREAM - 15G,D AINS BEAUTY EMPIRE SDN. BHD,Guangzhou Baiyunqu Yanmei Cosmetics Factory,"HYDROQUINONE,TRETINOIN,STEROID","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT220504138K,Fruiser Instant Hand Sanitizer - Protect,Khobates Industries Sdn Bhd,COSMETECH MANUFACTURING,ISOPROPYL ALCOHOL,"【ISOPROPYL ALCOHOL】Ingredient's risk: Severe skin dryness, irritation, disrupts skin barrier, can cause contact dermatitis. Common uses: Hand sanitizers, disinfectant products, astringents. Banned / monitored: Limited to specific concentrations in cosmetics, restricted in leave-on products."
NOT190708278K,FS TURMERIC CREAM,FS BEAUTY & SPA,"IREAL PLUS (THAILAND) CO.,LTD","STEROID,MERCURY","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT170900717K,FULENZE - Whitening Freckle Day Cream,YS Medicals Sdn. Bhd.,"BEAUTY COSMETIC CO., LTD",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT240201187K,GB HERBAL CREAM TREATMENT,GLOWING BEAUTY CARE,SB INTERLAB CO. LTD.,"STEROID,MERCURY","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT240201186K,GB NIGHT CREAM TREATMENT,GLOWING BEAUTY CARE,SB INTERLAB CO. LTD.,"HYDROQUINONE,TRETINOIN","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT210305182K,GERBERA BEAUTY - TREATMENT & REPAIRING NIGHT CREAM,GERBERA BEAUTY,GUANGZHOU MEISHENG COSMETICS CO. LTD,STEROID,"【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT210305183K,GERBERA BEAUTY - WHITENING NIGHT CREAM,GERBERA BEAUTY,GUANGZHOU MEISHENG COSMETICS CO. LTD,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT170201663K,GG Pinky Day Cream for Skin,ONE WORLD COSMETICS,Pan Rajdhevee Group Public Company Limited,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT170806887K,GLOW GLOWING N GLOWING ,QALBU OCEAN ENTERPRISE,TOP ON COSMETICS INDUSTRIES,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT181006812K,GLOW SKIN WHITE - BRIGHTENING CREAM,Figure Fit (M) Sdn Bhd,ORACLE COS INTERNATIONAL,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT210604359K,HAEMUN Cream,AXELTRADE RESOURCES PLT,"Hanbit Korea Co., Ltd",MICONAZOLE,"【MICONAZOLE】Ingredient's risk: May cause antifungal resistance, skin irritation, allergic reactions in sensitive individuals. Common uses: Antifungal creams for athlete's foot, jock itch, and yeast infections. Banned / monitored: Generally approved but with concentration limits and specific usage guidelines."
NOT230903286K,KAK ELL KRIM RAWATAN,ARMILA BERHAD,Fabullite Sdn Bhd,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT210701629K,KARISMA BIRDS NEST GEL,KARISMA EMPAYAR SDN. BHD.,"IREAL PLUS (THAILAND) CO., LTD.","HYDROQUINONE,TRETINOIN","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT160300509K,Karisma Daycream,KARISMA COSMETIC,"MERRY COSMETIC LABORATORIES CO., LTD",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT220903606K,KARISMA GOLDEN TURMERIC CREAM,KARISMA EMPAYAR SDN. BHD.,"IREAL PLUS (THAILAND) CO., LTD.","MERCURY,STEROID","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT160300410K,Karisma Nightcream Kunyit,KARISMA COSMETIC,"MERRY COSMETIC LABORATORIES CO., LTD",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT160300556K,Karisma Treatment Sarang Burung,KARISMA COSMETIC,"MERRY COSMETIC LABORATORIES CO., LTD",HYDROQUINONE AND TRETINOIN,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT171003557K,LABEAUTY BOOSTER NIGHT CREAM,LABEAUTY RESOURCES,GUANGZHOU SHANG ZHUANG COSMETICS CO. LTD,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT190107639K,LANA RADIANCE NIGHT CREAM,QALBU OCEAN ENTERPRISE,TOP ON COSMETICS INDUSTRIES,HYDROQUINONE,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions."
NOT200306590K,LS REPAIRING CREAM,AA MEGA LEGACY,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT170200716K,Luffiya Night Cream 1 & 2,ARRIANA ROSE BEAUTY RESOURCES,LOLLA INDUSTRIES (M) SDN. BHD.,"TRETNON,HYDROQUINONE,MERCURY","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT201004624K,LUXE LILY BEAUTY PEELING OIL,AY & NR ENTERPRISE,"ADVANCE COSMETIC CO., LTD.","HYDROQUINONE,HYDROQUINONE","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions."
NOT160506024K,Magic cream,MALIA MELLIA,Nund Skintech,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT170204393K,MOLEEK SKINCARE ANTI PIGMENTATION CREAM PLUS,SEJAGAT GLOBAL RESOURCES,Dby Smart Trading,"TRETNON,HYDROQUINONE","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT200901749K,MOMILA BEAUTY WHITENING CREAM,BYSHEILANAN ENTERPRISE,Guangzhou Baiyunqu Yanmei Cosmetics Factory,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT190605136K,MS SKINZ NIGHT CREAM,REDSKY CAPITAL,Fabullite Sdn Bhd,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT150903694K,NIGHT CREAM DOLLYS PINKY,LEGACY JAYA ENTERPRISE,BENNY COSMETIC CO LTD,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT200405779K,Night Cream ForU By D Ains Beauty Empire,D AINS BEAUTY EMPIRE SDN. BHD,Guangzhou Baiyunqu Yanmei Cosmetics Factory,"TRETINOIN,HYDROQUINONE,STEROID","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT220102940K,Ninaskincare Skin Puteh Moisturizer,Nina Beauty Legacy,"GUANGZHOU BOXUANYA COSMETICS CO.,LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT200704119K,NP BEAUTY FM CREAM,NP BEAUTY RESOURCES,Guangzhou Baiyunqu Yanmei Cosmetics Factory,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT150900193K,NURIZ  SHOPPE -UV PEARL CREAM,PROGRESSIVE  MIX INDUSTRIES,PROGRESSIVE MIX INDUSTRIES,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT140304146K,NV Anti Blemish Toner 1,NOUVELLE BEAUTY CENTRE SDN. BHD.,QEMRICH SDN. BHD.,HYDROQUINONE AND TRETINOIN,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT190702019K,Qeziger Age-locking Recharging Spot A.M Cream,ELEMENSIVE MANUFACTURE ENTERPRISE,"MELL BIOTECH CO.,LTD",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT220106011K,RISSA SKIN MOISTURISER,TWIN RICH SOLUTION,"IREAL PLUS (THAILAND) CO., LTD.","TRETINOIN,STEROID,HYDROQUINONE","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT170402517K,ROBISIS - Anti-Acne Whitening Day & Night Cream,YS Medicals Sdn. Bhd.,Cosmaprof Co. Ltd.,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT150501310K,ROYAL EXPERT WHITENING CREAM ,ORTUS EXPERT COSMETICS SDN. BHD.,QCM COSMETICS INTERNATIONAL,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT180705530K,RZAC BEAUTY CREME 2,R-ZAC SDN. BHD.,SIAM YOKO CO. LTD,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT210605524K,SERENE TREATMENT CREAM,RICHGOLDS ENTERPRISE,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT210302928K,SKIN DESSERT CREAM,AILEZEE EMPIRE,"Guangzhou Meisheng Cosmetic Co., Ltd.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT191103319K,SKIN REVOLUTION - Acne Clearing Solution,SANSBEAU COSMETICS SDN.BHD.,GUANGZHOU BAILICHEM COSMETICS CO.LTD,METRONIDAZOLE,"【METRONIDAZOLE】Ingredient's risk: Potential carcinogen, can cause nausea, metallic taste, nerve damage with prolonged use. Common uses: Treatment of rosacea, bacterial and parasitic skin infections. Banned / monitored: Prescription-only antibiotic, banned in food and cosmetic products in many countries."
NOT230202916K,SKINMADE AZ & SALICYLIC ACID + LICORICE ROOT SERUM,Beauty Effect Store Sdn. Bhd.,VNI SCIENTIFIC SDN BHD,AZELAIC ACID,"【AZELAIC ACID】Ingredient's risk: Mild skin irritation, burning sensation, may cause hypopigmentation in some individuals. Common uses: Acne treatment, rosacea therapy, skin brightening products. Banned / monitored: Prescription-only in concentrations above 10% in some regions."
NOT210700039K,SKINSISTER BABYSKIN TREATMENT CREAM,MAGNIVQUE EMPIRE RESOURCES,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT200706569K,SL TWO INTENSIVE,D AMAN KOSMETIK & ENTERPRISE,GUANGZHOU SHANG ZHUANG COSMETICS CO. LTD,"HYDROQUINONE,STEROID","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT221003358K,Snow White Treatment Cream,BELLANASZ  BEAUTY ,"ZHEJIANG L&J COSMETICS CO.,LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT180901024K,SPARKLE MOON NIGHT CREAM,KARISMA EMPAYAR SDN. BHD.,"MERRY COSMETIC LABORATORIES CO., LTD","MERCURY,STEROID","【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body. || 【STEROID】Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
NOT180901005K,SPARKLE SUN DAY CREAM,KARISMA EMPAYAR SDN. BHD.,"MERRY COSMETIC LABORATORIES CO., LTD",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT201003378K,SWEET 13 SKINCARE TREATMENT CREAM,JANE BEAUTY AND BOUTIQUE,"Guangzhou Meisheng Cosmetic Co., Ltd.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT170303016K,SYMA MAGICAL SERUM,SYIMA GLOBAL ENTERPRISE,SERI WV SDN. BHD.,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT170505954K,TATI THERAPY CREAM 2,HDY AYLIA RESOURCES,Nund Skintech,HYDROQUINONE AND TRETINOIN,"【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT171202673K,TATI ULTRA NIGHT CREAM,NH BIZ RESOURCES,Nund Skintech,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT211004813K,TEMPIAS HAWA MASTER RECOVERY SKIN RSKIN,Tempias Hawa Sdn Bhd,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT200800620K,TONER TREATMENT EWSB,ENIQ WORLD SDN. BHD.,GUANGZHOU BOYA COSMETICS CO LTD,"HYDROQUINONE,TRETINOIN","【HYDROQUINONE】Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions. || 【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
